Question,Choice1,Choice2,Choice3,Choice4,Answer
1.Identify the deployment model among the following.,a)Private,b)Public,c)Hybrid,d)All of the above,4
2.Choose the correct IaaS provider among the following.,a)EC2,b)EC1,c)EC10,d)Hybrid,1
3.Which of the following refers to network or internet,a)Cloud,b)CRM,c)Cloud Computing,d)Computing,3
4.In cloud computing the client is on which end.,a)Backend,b)Frontend,c)Depends,d)Both a and b,2
5.PaaS stands for?,a)Platform as a service,b)Platform as a software,c)Parallel as a service,d)None,1
6.Which of the following is not a property of cloud computing?,a)virtualization,b)composability,c)scalability,d)all of the mentioned,2
7.Which is the most essential concept related to Cloud computing?,a)Abstraction,b)Reliability,c)Productivity,d)All of the mentioned,1
8.Which of the following is the Cloud Platform provided by Amazon?,a) AWS,b) Cloudera,c) Azure,d) All of the mentioned,1
9.Identify the Type 1 hypervisor among the following.,a)KVM,b)Virtual Server 2005 R2,c)Wind River Simics,d)KYM,1
10.Identify the VM monitor and CPU emulator among the following.,a)Parallels,b)QEMU,c)VMS,d)None,3
